JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,EXISTING_USE_TYPE,NUM_OF_UNITS,SURPLUS_TYPE,PARCEL_SIZE
LOS ANGELES,LOS ANGELES,2021,5210-024-900,"Adjacent to 3031 E Alhambra Ave.
Los Angeles, CA 91803",Commercial,0.0,Exempt Surplus Land,0.0
LOS ANGELES,LOS ANGELES,2021,2769-018-902,"Nestle Ave and Acre St
Los Angeles, CA 91325",Other,0.0,Exempt Surplus Land,0.0
MAYWOOD,LOS ANGELES,2020,6313-001-901,5110 District Boulevard,Industrial,0.0,Surplus Land,0.27
MAYWOOD,LOS ANGELES,2020,6313-001-902,5102 District Boulevard,Industrial,0.0,Surplus Land,0.28
MAYWOOD,LOS ANGELES,2020,6314-024-900,4801 Slauson Avenue,Commercial,0.0,Surplus Land,0.35
CARSON,LOS ANGELES,2021,"7315-012-900, 7315-012-804",E. 223rd Street,Commercial,0.0,Surplus Land,3.54
MAYWOOD,LOS ANGELES,2021,6313-001-901,5110 District Blvd.,Industrial,0.0,Surplus Land,0.27
MAYWOOD,LOS ANGELES,2021,6313-001-902,5102 District Blvd.,Industrial,0.0,Surplus Land,0.28
MAYWOOD,LOS ANGELES,2021,6314-024-900,4801 Slauson Ave.,Commercial,0.0,Surplus Land,0.35
BEVERLY HILLS,LOS ANGELES,2021,4336-010-271,617-619 North Robertson Boulevard,Other,0.0,Surplus Land,0.19
BEVERLY HILLS,LOS ANGELES,2021,4336-010-270,621-623 North Robertson Boulevard,Other,0.0,Surplus Land,0.17
LOS ANGELES,LOS ANGELES,2021,"Portion of
4309-002-901","Adjacent to 2315 Beverwil Dr. (2nd Rd)
Los Angeles, CA 90034",Other,0.0,Exempt Surplus Land,0.03
LOS ANGELES,LOS ANGELES,2021,"Portion of
4309-002-901","Adjacent to 2311 Beverwil Dr. (2nd Rd)
Los Angeles, CA 90034",Other,0.0,Exempt Surplus Land,0.03
LOS ANGELES,LOS ANGELES,2021,5547016906,6518-6522 Hollywood Blvd,Commercial,0.0,Exempt Surplus Land,0.27
AZUSA,LOS ANGELES,2020,8611-004-912,622 N. San Gabriel Ave.,Public Facilities,0.0,Excess,0.08
AZUSA,LOS ANGELES,2020,8611-004-913, 622 N. San Gabriel Ave.,Public Facilities,0.0,Excess,0.08
AZUSA,LOS ANGELES,2021,8611-004-912,622 N. San Gabriel Ave.,Public Facilities,0.0,Excess,0.08
AZUSA,LOS ANGELES,2021,8611-004-913, 622 N. San Gabriel Ave.,Public Facilities,0.0,Excess,0.08
ARCADIA,LOS ANGELES,2021,"8571-011-904, 8571-012-907, 8571-012-908","620 E. Live Oak Avenue, Arcadia, CA 91006",Public Facilities,0.0,Surplus Land,30.7
