JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,REZONE_DT,LOW_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
MONTEREY PARK,LOS ANGELES,2020,5286019013,126 N New Ave,Whitmore Villas,12/1/2020,62.0,No Net Loss,2.8,High Density Residential (HDR),High-Density Residential (R-3),16.1units/acre,30.0 units/acre,62,Vacant,Vacant Lot
MONTEREY PARK,LOS ANGELES,2020,5256011060,206 N Moore,,12/1/2020,3.0,No Net Loss,0.35,High Density Residential (HDR),High-Density Residential (R-3),16.1units/acre,30.0 units/acre,3,Non-Vacant,Mult-Family Residential
SIERRA MADRE,LOS ANGELES,2018,5768-020-011,261 Mariposa,,1/28/2014,3.0,No Net Loss,11450.0,RH,R3,1,13 du/ac,3,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-021-008,109 Auburn,,1/28/2014,2.0,No Net Loss,8250.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-021-010,91 Auburn,,1/28/2014,2.0,No Net Loss,4810.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-021-009,99 Auburn,,1/28/2014,2.0,No Net Loss,3440.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-021-011,87 Auburn,,1/28/2014,1.0,No Net Loss,8250.0,RH,R3,1,13 du/ac,1,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5768-019-010,318 Montecito,,1/28/2014,2.0,No Net Loss,7482.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5768-019-009,46 N Lima,,1/28/2014,2.0,No Net Loss,75010.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-022-026,198 W Montecito,,1/28/2014,2.0,No Net Loss,3000.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-022-028,196 W Montecito,,1/28/2014,2.0,No Net Loss,3000.0,RH,R3,1,13 du/ac,2,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-022-027,40 N Hermosa,,1/28/2014,1.0,No Net Loss,12300.0,RH,R3,1,13 du/ac,1,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-022-049,170 W. Montecito,,1/28/2014,1.0,No Net Loss,7767.0,RH,R3,1,13 du/ac,1,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5767-022-024,168 W Montecito,,1/28/2014,1.0,No Net Loss,7767.0,RH,R3,1,13 du/ac,1,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5768-020-013,293 Mariposa,,1/28/2014,8.0,No Net Loss,22988.0,RH-1,R3-H,2,20,8,Non-Vacant,Single family residential
SIERRA MADRE,LOS ANGELES,2018,5768-020-012,271 Mariposa,,1/28/2014,8.0,No Net Loss,11494.0,RH-1,R3-H,2,20,8,Non-Vacant,Single family residential
CUDAHY,LOS ANGELES,2018,6224007002,not available,,3/18/2018,14.0,Shortfall of Sites,0.94,Med Density Residential,Med Density Residential,1,25,14,Non-Vacant,7 dwelling units
CUDAHY,LOS ANGELES,2018,6224007009,not available,,3/18/2018,9.0,Shortfall of Sites,0.59,Med Density Residential,Med Density Residential,1,25,9,Non-Vacant,Commercial/Industrial
CUDAHY,LOS ANGELES,2018,6224007800,not available,,3/18/2018,12.0,Shortfall of Sites,0.78,Med Density Residential,Med Density Residential,1,25,12,Non-Vacant,Commercial/Industrial
CUDAHY,LOS ANGELES,2018,6224007801,not available,,3/18/2018,14.0,Shortfall of Sites,0.93,Med Density Residential,Med Density Residential,1,25,14,Non-Vacant,Commercial/Industrial
CUDAHY,LOS ANGELES,2018,6224013902,not available,,3/18/2018,2.0,Shortfall of Sites,0.1,Med Density Residential,Med Density Residential,1,25,2,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226006901,not available,,3/18/2018,1.0,Shortfall of Sites,0.07,Med Density Residential,Med Density Residential,1,25,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226007003,not available,,3/18/2018,3.0,Shortfall of Sites,0.18,Med Density Residential,Med Density Residential,1,25,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226017010,not available,,3/18/2018,14.0,Shortfall of Sites,0.93,Med Density Residential,Med Density Residential,1,25,14,Non-Vacant,5 dwelling units
CUDAHY,LOS ANGELES,2018,6226017029,not available,,3/18/2018,2.0,Shortfall of Sites,0.14,Med Density Residential,Med Density Residential,1,25,2,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226018025,not available,,3/18/2018,3.0,Shortfall of Sites,0.18,Med Density Residential,Med Density Residential,1,25,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226027008,not available,,3/18/2018,13.0,Shortfall of Sites,0.9,Med Density Residential,Med Density Residential,1,25,13,Non-Vacant,5 dwelling units
CUDAHY,LOS ANGELES,2018,6226027009,not available,,3/18/2018,12.0,Shortfall of Sites,0.8,Med Density Residential,Med Density Residential,1,25,12,Non-Vacant,4 dwelling units
CUDAHY,LOS ANGELES,2018,6226027010,not available,,3/18/2018,12.0,Shortfall of Sites,0.79,Med Density Residential,Med Density Residential,1,25,12,Non-Vacant,2 dwelling units
CUDAHY,LOS ANGELES,2018,6226027011,not available,,3/18/2018,12.0,Shortfall of Sites,0.78,Med Density Residential,Med Density Residential,1,25,12,Non-Vacant,4 dwelling units
CUDAHY,LOS ANGELES,2018,6226029006,not available,,3/18/2018,14.0,Shortfall of Sites,0.94,Med Density Residential,Med Density Residential,1,25,14,Non-Vacant,5 dwelling units
MONTEREY PARK,LOS ANGELES,2020,5259004036,338 S Alhambra Ave,,12/1/2020,26.0,No Net Loss,0.43,High Density Residential (HDR),High-Density Residential (R-3),16.1units/acre,30.0 units/acre,26,Non-Vacant,Mult-Family Residential
