JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
MONROVIA,2019,Preservation of Affordable (At-Risk Rental Housing),Maintain affordable housing rental stock,Ongoing,Ongoing
GARDENA,2020,15. Non-Profit Development Department Partnership,"Hold at least one workshop annually to discuss the City's plans, development opportunities, resources/assistance and the RFQ Process",Ongoing,Ongoing
GARDENA,2021,15. Non-Profit Development Department Partnership,"Hold at least one workshop annually to discuss the City's plans, development opportunities, resources/assistance and the RFQ Process",Ongoing,Ongoing
MONROVIA,2020,Preservation of Affordable (At-Risk Rental Housing),Maintain affordable housing rental stock,Ongoing,Ongoing
ROLLING HILLS ESTATES,2020,Encourage and Promote Accessible Housing,Encourage and promote accessible housing for the disabled and the enforcement of the State accessibility standards for new residential construction.,Ongoing,Ongoing
HAWTHORNE,2021,Lot Consolidation,Allow administrative processing of lot consolidation requests. Facilitate lot consolidation by assisting developers in identifying parcels with consolidation potential and assisting in the lot consolidation process. Work with property owners to facilitate lot consolidation and identify redevelopment potential.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2018,Encourage and Promote Accessible Housing,Encourage and promote accessible housing for the disabled and the enforcement of the State accessibility standards for new residential construction.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2019,Support the Fair Housing Foundation,Enforce fair housing laws and provide fair housing counseling services to residents; distribute information regarding fair housing services.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2019,Encourage and Promote Accessible Housing,Encourage and promote accessible housing for the disabled and the enforcement of the State accessibility standards for new residential construction.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2020,Support the Fair Housing Foundation,Enforce fair housing laws and provide fair housing counseling services to residents; distribute information regarding fair housing services.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2021,Support the Fair Housing Foundation,Enforce fair housing laws and provide fair housing counseling services to residents; distribute information regarding fair housing services.,Ongoing,Ongoing
ROLLING HILLS ESTATES,2018,Support the Fair Housing Foundation,Enforce fair housing laws and provide fair housing counseling services to residents; distribute information regarding fair housing services.,Ongoing,Ongoing
MONROVIA,2020,Land Use Element and Sites Inventory,Maintain current inventory of sites and provide developers with information on incentives,Ongoing,Ongoing
HAWTHORNE,2020,Lot Consolidation,Allow administrative processing of lot consolidation requests. Facilitate lot consolidation by assisting developers in identifying parcels with consolidation potential and assisting in the lot consolidation process. Work with property owners to facilitate lot consolidation and identify redevelopment potential.,Ongoing,Ongoing
GARDENA,2019,15. Non-Profit Development Department Partnership,"Hold at least one workshop annually to discuss the City's plans, development opportunities, resources/assistance and the RFQ Process",Ongoing,Ongoing
MONROVIA,2021,Land Use Element and Sites Inventory,Maintain current inventory of sites and provide developers with information on incentives,Ongoing,Ongoing
MONROVIA,2021,Preservation of Affordable (At-Risk Rental Housing),Maintain affordable housing rental stock,Ongoing,Ongoing
ROLLING HILLS ESTATES,2021,Encourage and Promote Accessible Housing,Encourage and promote accessible housing for the disabled and the enforcement of the State accessibility standards for new residential construction.,Ongoing,Ongoing
ARTESIA,2018,Development Review Process Handouts,Development review process handouts,Ongoing,Program in effect.
BEVERLY HILLS,2018,Senior Case Management Program,Assist frail elderly residents to remain independent and in their homes,Ongoing,"The City continues to implement the Senior Care Management Program and provides additional assistance to seniors through: the Beverly Hills Active Club, exercise classes and activities at La Cienega and Roxbury Parks, the Senior Center and senior library at Roxbury Park (funded through the City library), and Jewish Family Services which provides a broad range of support services to seniors living independently. The City contributes to a housing/roommate matching program through Affordable Living for the Aging (ALA) to promote independent living for older adults and aging in place.  ALA matches seniors in need of housing with local seniors who have an extra room in their residence looking to earn additional income. In 2018, ALA enrolled nine Beverly Hills residents into the program."
MONROVIA,2018,Land Use Element and Sites Inventory,Maintain current inventory of sites and provide developers with information on incentives,Ongoing,Done/Ongoing
MONROVIA,2018,Sustainable Development and Green Programs,Provide outreach/begin advertising HERO Program to residents,Ongoing,Done
HIDDEN HILLS,2018,Program 5c. Density Bonus Ordinance.  The City will continue to implement the Density Bonus Ordinance consistent with current state law.,Continue to encourage production of affordable units through implementation of the Density Bonus Ordinance,Ongoing,"The City continued to implement the Density Bonus ordinance; however, no requests for density bonus were submitted."
LAWNDALE,2018,Acquisition and Rehabilitation,Acquire and rehabilitate existing housing units and resell them to low and very low income households,Ongoing,The loss of Redevelopment Agency Housing Set-Aside funds has effectively put the program on hold until a new funding source can be secured.
LAWNDALE,2018,Density Bonus Ordinance/Affordable Housing Development Incentives,Lower the average cost of land per d.u. making affordable housing more feasible,Ongoing,A Density Bonus Ordinance was adopted in Oct. 2011.
LAWNDALE,2018,Single Room Occupancy Units,Allow for alternative housing types,Ongoing,An ordinance permitting SROs was adopted in Sept. 2013
BURBANK,2018,Preservation of Assisted Housing,"Preserve existing ""at-risk"" affordable housing stock.",Ongoing,"Continuing to monitor status of 1,119 affordable units: maintain annual contact with owners/management; maintain and update list of all assisted housing development; communicate with Section 8 tenants regarding status of HUD contract renewal; provide tenant education for Section 8 recipients in the event of property owner withdrawal from Section 8 program; promote fair housing opportunities through owner/tenant workshops."
BURBANK,2018,Housing Choice Vouchers (Section 8 Rental Assistance),Maintain current levels of Section 8 funding; apply for additional funds as available.,Ongoing,"Program is ongoing; Section 8 program being maintained.  In 2018 the Burbank Housing Authority renewed funding for 20 permanent supportive housing vouchers (PSH) for chronically homeless and disabled households.  In 2018 applied for and received an allocation of five (5) Veterans Affairs Supportive Housing (VASH) vouchers to assist homeless veterans in the community.  In addition, BHA staff requested and received an exception payment standard that means a higher subsidy level for those special housing vouchers."
HERMOSA BEACH,2018,Program 1 Density Bonus.,Continue to make information available on the density bonus program through brochures and the City website throughout the planning period.,Ongoing,The City continued to implement this program
INDUSTRY,2018,2: Workforce Housing,"Continue to provide workforce housing opportunities for City employees. Allow for a one-for-one replacement of housing units lost to demolition, conversion, or disaster in order to maintain adequate housing options",Ongoing,"As the industrial hub of southern California, the City operates 24-7 and has found it beneficial to provide limited workforce housing for critical positions.  The City allows one-for-one replacement of units lost to demolition, conversion, or disaster to maintain the housing supply."
GLENDORA,2018,6 - Residential Sites Inventory,Monitor and update the residential sites inventory as needed to demonstrate RHNA compliance and provide the inventory to interested developers.,Ongoing,The sites inventory is maintained and updated as sites are developed and is provided to developers on request. Staff frequently meets with developers to help identify sites for housing development.
GLENDORA,2018,7 - Development Incentives,Offer incentives to encourage residential development.,Ongoing,The City offers incentives for residential development including the state density bonus law for affordable and senior housing.
GLENDORA,2018,8 - Zoning Ordinance,Monitor the ZoningOrdinance and its application to ensure that development standards do not unduly constrain residential development.,Ongoing,Staff continuously reviews the Zoning Ordinance and its application to individual projects to determine if any adjustments are warranted.
GLENDORA,2018,9 - Fair Housing,"Promote and publicize fair housing programs; continue to work with a qualified fair housing service provider, implement recommendations of the Analysis of Impediments to Fair Housing Choice.",Ongoing,The City contracts with the Housing Rights Center to provide fair housing services and continues to promote and publicize the availability of services.
ROLLING HILLS ESTATES,2018,Promote Water and Energy Conservation,"Encourage property maintenance to prevent deterioration, improve residential aesthetics and public safety, and to promote water conservation and energy conservation",Ongoing,"Ongoing Implementation. City joined Clean Power Alliance (new CCA program), and defaulted at 100% renewables"
ROLLING HILLS ESTATES,2018,Single Room Occupancy,Encourage the development of SRO Units,Ongoing,Ordinance No. 693 adopted 04/08/14
ROLLING HILLS ESTATES,2018,Increase Public Awareness of Reverse Mortgages,Inform the senior citizen population about the availability of reverse mortgages through the City's newsletter,Ongoing,Ongoing implementation.
SANTA CLARITA,2018,H 2.2 Homebuyer Assistance - FirstHOME Program,"Provide low-interest, deferred second mortgages.",Ongoing,FirstHOME has been determined infeasible in the current housing market.
SANTA CLARITA,2018,H 2.6 Homeless Case Management,Fund case management for the homeless.,Ongoing,The City funded a local non-profit to provide case management for the homeless.  509 inidivduals were served in 2018
SANTA CLARITA,2018,H 5.3 Expidited Processing for Affordable Housing Projects,Provide expidited process for affordable housing projects.,Ongoing,No affordable housing development proposals were received.
WHITTIER,2018,3. Minor Home Repair Grant,Issue 13 home rehabilitation loans/grants annually to lower income households. Seek funding to augment the housing rehabilitation loan/grant program. Publicize program availability.,Ongoing,Program continued in 2018.  One grant was completed by SCRS in FY2017-18
WHITTIER,2018,5. Specific Plans,Continue to implement specific plans to facilitate high quality infill residential development.,Ongoing,"Program continued in 2018.  Many new housing developments have been entitled, constructed, and/or occupied within the Whittier Boulevard, Uptown, Lincoln, and Whittwood Specific Plan Areas."
PALOS VERDES ESTATES,2018,Regulate the conversion or demolition of rental housing stock,Preserve rental housing opportunities in 382 units,Ongoing,The City maintains rental housing stock
