JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
ENCINITAS,SAN DIEGO,2019,2592312800,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,89,,,Unaccommodated Need,3.57,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,89,Non-Vacant,three residential structures across multiple parcels
ENCINITAS,SAN DIEGO,2019,2592313000,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,13,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2019,2592313100,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.46,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2019,2581308200,Quail Gardens Drive,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,22,,,Unaccommodated Need,0.88,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,22,Non-Vacant,UTILITY EASEMENT
ENCINITAS,SAN DIEGO,2019,2581309100,Mays Hollow Lane,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,8,,,Unaccommodated Need,0.33,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,8,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2019,2574702400,1950 HWY 101,JACKEL PROPERTIES,Ord No. 2019-04,3/27/2019,,33,,,Unaccommodated Need,2.97,N-LVSC,N-LVSC,25 DU/AC,30 DU/AC,33,Non-Vacant,VACANT RESTAURANT AND SURFACE PARKING LOT
ENCINITAS,SAN DIEGO,2019,2546121200,) 1150 Quail Gardens Drive,ECHTER PROPERTY,Ord No. 2019-04,3/27/2019,,246,,,Unaccommodated Need,9.85,Encinitas Ranch Specific Plan,ER-AG,25 DU/AC,30 DU/AC,246,Non-Vacant,temporary greenhouse agricultural structures along with an existing single-family residential structure
ENCINITAS,SAN DIEGO,2019,"2581309700, 2581309800",630 Encinitas Boulevard,SUNSHINE GARDENS,Ord No. 2019-04,3/27/2019,,84,,,Unaccommodated Need,3.39,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,84,Non-Vacant,"single-story commercial building, a paved surface parking lot, and a variety of retail uses in both permanent and temporary structures"
ENCINITAS,SAN DIEGO,2019,2160520100,1967 N Vulcan Ave,VULCAN & LA COSTA,Ord No. 2019-04,3/27/2019,,50,,,Unaccommodated Need,2,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,50,Non-Vacant,temporary agricultural structures such as greenhouses
ENCINITAS,SAN DIEGO,2019,2582411000,) 1050 Regal Road,SEACOAST CHURCH,Ord No. 2019-04,3/27/2019,,35,,,Unaccommodated Need,1.41,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,35,Non-Vacant,"four existing 1 and
2-story structures associated with the existing church facility on-site, two paved parking lots"
ENCINITAS,SAN DIEGO,2019,2612003700,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,13,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2019,2612003900,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.63,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2019,2580521200,364 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,7,,,Unaccommodated Need,0.65,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,7,Non-Vacant,"2-story office building and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2019,2580350700,371 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,14,,,Unaccommodated Need,1.26,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,14,Non-Vacant,"2-story office building, one 2-story residential structure, and a surface parking lot - Existing operational
businesses"
