JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REALISTIC_CAPACITY,TRANSFERRED_TO,INTENDED_USE
NATIONAL CITY,SAN DIEGO,2020,559-085-08-00,405 - 419 W 18th Street,Habitat for Humanity,,3,Habit for Humanity,Build 6 affordable units
SANTA ROSA,SONOMA,2020,010-041-008,307 6th Street,,,1,Catholic Charities,Affordable housing
SANTA ROSA,SONOMA,2020,010-041-019,431 A Street,,,2,Catholic Charities,Affordable housing
INDIAN WELLS,RIVERSIDE,2020,604-640-015,N/A,,,1,"Garden of Champions, LLC",Turf Farm and Temporary Parking
INGLEWOOD,LOS ANGELES,2020,4017025902,716-720 Beach Ave,TSA Beach,,6,"Beach Ave Housing, LP",42-unit Affordable Housing Development
KINGSBURG,FRESNO,2020,396-020-17,2530 Sierra Street,Linnaea Village,,47,Housing Authority,senior apartments
SAN BERNARDINO COUNTY,SAN BERNARDINO,2020,1053-521-01,"14389  SULTANA AVE, ONTARIO",,,1,private party,"Agriculture/Dairy 
(City of Ontario jurisdiction)"
SAN BERNARDINO COUNTY,SAN BERNARDINO,2020,1054-051-01,"7565  EUCALYPTUS AVE, ONTARIO",,,1,private party,"Agriculture/Dairy 
(City of Ontario jurisdiction)"
SEASIDE,MONTEREY,2020,012-191-001,1104 Olympia Avenue,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-002,Olympia Avenue,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-003,1116 Olympia Avenue,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-004,1128 Olympia Avenue,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-013,1199 Broadway Avenue,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,031-152-011,4386 – 4387 Parker Flats Cut Off Road,Parker Flats Apartments,,8,AP GLOVER ENTERPRISES LLC,"40 residential units, 8 of 40 affordable"
SEASIDE,MONTEREY,2020,012-191-016,Broadway Ave,Ascent,,13,"Ascent Broadway, LLC","106 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-017,1173 Broadway Avenue,Ascent,,13,"Ascent Broadway, LLC","107 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-021,1125 Broadway Avenue,Ascent,,13,"Ascent Broadway, LLC","108 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-022,1614 Terrace Street,Ascent,,13,"Ascent Broadway, LLC","109 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-023,Broadway Ave,Ascent,,13,"Ascent Broadway, LLC","110 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-024,Broadway Ave,Ascent,,13,"Ascent Broadway, LLC","110 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SEASIDE,MONTEREY,2020,012-191-025,1193 Broadway Avenue,Ascent,,13,"Ascent Broadway, LLC","110 residential units, 16 of 106 affordable, 4,079 SF commercial space"
SAN DIEGO,SAN DIEGO,2020,272-110-43,W. Bernardo Drive,,,4,"Casa de las Campanas, Inc.",Senior Housing
SAN DIEGO,SAN DIEGO,2020,"548-450-01, 02 & 03, 548-450-14","Velma Ter & Trinidad Way, San Bernardo & Trinidad Way,",,,4,Unknown,Unknown
SAN DIEGO,SAN DIEGO,2020,"548-450-20 & 21, 548-462-09 & 10","La Paz Dr & San Bernardo Terr, Olvera Ave & Santa Isabel Dr",,,4,Unknown,Unknown
SAN DIEGO,SAN DIEGO,2020,"548-462-18,19 & 20,552-113-11,552-112-11","Santa Isabel & Encina, San Onofre & Santa Isabel",,,5,Unknown,Unknown
SAN DIEGO,SAN DIEGO,2020,"433-250-16, 433-250-14 , 433-250-16",9449 Friars Road,,,4600,SDSU,"approximately 86 acres of parks, recreation, and open space, including a 34-acre River Park; (b) approximately 1.6 million square feet of campus uses for education, research, entrepreneurial, and technology programs; (c) construction of a new, multipurpose 35,000-capacity stadium and corresponding demolition of the existing stadium; (d) approximately 4,600 residences, including student, faculty, staff, workforce, and affordable housing; (e) approximately 400 hotel rooms; (f)approximately 95,000 square feet of community-serving retail space; (g)enhanced use of the MTS Green Line Stadium Trolley Station and accommodation of the planned Purple Line on the Site; and (h) associated on-site and off-site infrastructure, utilities, facilities, and other amenities"
CARSON,LOS ANGELES,2020,7319038900,1007 E. Victoria St.,CARSON UPTON,,36,"CARSON 36, LLC, a Delaware limited liability company",Market Rate Multiple-Family Condominium (Townhouse) Housing Devlopment
BRISBANE,SAN MATEO,2021,007556010,1100 San Bruno Ave,,,7,CLEAR VIEW PARTNERS LLC,Residential
