JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,EXISTING_USE_TYPE,NUM_OF_UNITS,SURPLUS_TYPE,PARCEL_SIZE,NOTES
COACHELLA,RIVERSIDE,2020,767-731-018,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-019,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-020,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-021,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-022,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-001,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-002,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-003,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-004,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-005,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-006,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-007,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-013,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-014,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-015,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-016,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-017,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-720-018,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
